functionary,re-balanced (paid back) a recently overdrawn current acount,FI3O credit score,gender,0. accounts at other banks,credit refused in past?,years employed,savings on other accounts,self employed?,max. account balance 12 months ago,min. account balance 12 months ago,avrg. account balance 12 months ago,max. account balance 11 months ago,min. account balance 11 months ago,avrg. account balance 11 months ago,max. account balance 10 months ago,min. account balance 10 months ago,avrg. account balance 10 months ago,max. account balance 9 months ago,min. account balance 9 months ago,avrg. account balance 9 months ago,max. account balance 8 months ago,min. account balance 8 months ago,avrg. account balance 8 months ago,max. account balance 7 months ago,min. account balance 7 months ago,avrg. account balance 7 months ago,max. account balance 6 months ago,min. account balance 6 months ago,avrg. account balance 6 months ago,max. account balance 5 months ago,min. account balance 5 months ago,avrg. account balance 5 months ago,max. account balance 4 months ago,min. account balance 4 months ago,avrg. account balance 4 months ago,max. account balance 3 months ago,min. account balance 3 months ago,avrg. account balance 3 months ago,max. account balance 2 months ago,min. account balance 2 months ago,avrg. account balance 2 months ago,max. account balance 1 months ago,min. account balance 1 months ago,avrg. account balance 1 months ago,credit rating
0,1,1,1,4,0,1,1,0,1,3,4,5,2,2,2,3,2,1,1,5,2,4,2,3,3,5,5,2,2,1,3,4,5,5,5,3,1,1,4,3,2,4,2,2,1
0,0,1,0,4,0,5,6,0,3,1,4,4,4,1,4,2,3,4,4,4,1,3,5,4,4,2,3,1,3,3,1,5,2,4,2,3,3,4,5,5,5,2,4,4,3
0,0,1,0,4,0,5,2,1,4,3,1,1,4,4,2,3,5,2,2,1,2,3,1,2,5,1,1,5,5,2,3,3,2,5,4,4,1,1,1,5,3,5,3,4,0
0,1,1,1,5,0,1,1,0,4,5,4,4,3,3,3,3,2,4,2,5,2,4,5,1,1,4,2,4,5,4,5,5,5,5,1,3,4,3,5,5,1,1,2,3,2
0,1,0,0,3,0,4,1,0,5,2,3,3,2,4,2,5,4,3,3,4,1,4,2,1,1,2,5,1,1,1,3,1,4,3,5,3,1,3,2,2,4,2,3,2,0
1,1,1,0,4,0,3,3,0,1,5,1,5,4,4,4,4,5,4,3,2,4,1,3,5,4,5,3,2,1,1,4,5,5,2,1,1,4,1,4,5,1,5,2,2,2
0,1,1,1,2,0,2,2,0,4,2,3,5,3,2,5,1,2,4,5,4,3,1,1,1,1,1,2,3,5,3,2,4,5,2,1,4,5,3,5,5,5,5,3,5,1
0,1,1,1,3,0,2,2,0,1,1,4,5,4,2,2,4,3,4,2,5,4,4,1,3,2,1,2,3,1,3,4,2,4,4,5,2,5,1,2,2,2,3,1,3,2
0,1,1,0,5,0,4,5,0,3,1,3,5,3,2,2,5,4,4,5,1,1,4,5,2,3,4,5,1,3,4,2,2,4,5,4,4,3,5,3,5,2,4,1,3,3
0,0,0,0,4,0,5,6,0,1,1,3,4,5,5,4,1,4,3,1,5,2,4,5,2,2,2,4,4,1,1,4,3,5,2,5,2,2,4,5,1,2,1,5,3,3
1,0,1,1,4,0,4,1,1,4,1,2,3,1,5,2,5,1,4,2,4,5,3,5,4,4,2,5,2,2,1,1,3,5,3,4,5,3,3,5,5,3,1,3,4,0
1,1,1,0,2,0,1,1,0,4,4,4,4,2,5,4,5,2,2,2,2,2,5,1,4,5,2,3,4,1,1,5,5,1,2,3,1,5,2,1,3,1,5,4,2,1
0,1,1,0,1,0,3,3,0,4,4,1,4,4,3,3,5,5,2,3,3,5,2,5,3,1,2,1,1,5,4,1,3,4,1,3,2,5,2,2,2,2,5,1,1,2
0,1,0,0,3,0,4,1,0,1,2,3,1,1,3,4,5,2,2,2,4,3,1,5,4,4,2,1,4,1,4,2,1,3,4,1,5,2,5,4,4,1,2,4,3,0
0,0,1,0,5,1,3,3,0,2,1,4,4,4,5,4,4,1,5,5,1,1,1,4,1,4,1,2,5,4,3,2,2,1,1,2,2,3,3,3,2,1,1,3,2,0
0,1,1,1,1,0,2,2,0,3,1,5,4,1,4,4,3,3,5,2,2,5,5,4,5,2,4,1,2,4,3,1,5,3,1,4,5,1,3,2,5,3,3,2,4,2
0,1,1,0,5,0,3,3,0,5,1,4,5,2,2,1,5,3,1,4,4,1,5,1,1,2,2,4,1,3,1,3,5,4,5,4,4,2,5,3,1,3,2,5,2,2
0,1,1,0,2,0,2,2,0,2,2,2,2,4,3,3,1,2,5,2,5,1,2,5,3,2,1,5,4,1,4,4,3,5,3,1,3,4,1,1,5,2,3,5,1,2
1,1,0,0,5,0,2,2,0,2,3,4,1,3,4,1,2,5,4,4,3,2,2,4,5,4,4,5,1,3,5,3,4,4,1,3,2,1,3,2,5,4,1,2,4,0
0,1,1,0,2,0,1,1,0,2,3,4,1,1,5,4,1,4,4,4,1,1,5,1,2,2,4,3,4,5,3,4,5,1,5,2,2,5,2,2,4,2,2,5,1,2
1,0,0,1,3,1,3,3,0,1,3,1,2,2,3,3,1,3,3,4,2,5,3,1,1,3,2,5,5,5,4,2,5,2,4,3,2,1,4,1,1,2,5,1,4,0
1,1,1,0,4,0,3,3,0,4,2,5,2,2,2,3,1,4,4,4,2,1,2,4,2,5,1,4,2,1,5,4,3,5,4,2,1,5,4,5,5,2,4,4,4,1
0,1,1,0,4,1,4,1,0,2,3,3,5,1,2,1,1,3,3,4,3,5,1,3,1,3,4,3,5,5,1,3,1,4,1,3,1,3,4,2,3,5,2,1,1,0
0,0,0,1,3,0,1,1,1,5,1,2,5,1,5,3,1,1,4,2,2,1,4,2,2,1,5,4,2,3,5,2,2,2,5,5,4,5,3,3,2,3,5,5,2,0
0,0,1,1,3,1,5,6,0,3,4,5,4,4,1,4,5,1,4,5,1,1,2,5,1,3,4,5,5,1,3,4,2,4,1,5,3,3,4,4,5,2,2,4,5,3
0,1,0,0,1,0,1,1,0,3,5,1,2,2,2,2,2,3,1,4,1,1,2,3,4,1,5,5,5,1,5,3,2,4,2,5,3,1,2,2,5,4,5,5,2,0
0,1,1,0,1,0,5,6,0,2,2,3,2,5,2,4,4,3,3,5,2,1,1,1,4,3,3,5,5,5,4,4,5,3,2,2,5,5,5,1,3,4,1,2,4,2
0,1,1,1,4,0,5,6,0,5,4,2,2,2,2,2,2,3,3,2,2,5,1,4,3,3,2,1,2,5,4,2,2,2,5,2,4,5,4,4,5,3,3,4,1,1
1,1,1,1,3,0,3,3,0,3,5,1,2,3,3,4,3,1,3,4,4,1,2,3,5,3,1,1,2,2,4,3,4,3,1,5,5,1,1,2,2,2,1,2,2,1
1,1,1,0,1,0,5,6,0,1,2,2,1,2,1,3,1,5,2,5,3,3,3,5,4,3,4,2,1,4,1,4,2,4,1,4,1,4,2,3,4,2,1,1,4,2
0,0,1,1,4,0,5,2,0,1,2,1,1,3,3,5,1,1,2,2,1,1,5,5,5,4,1,1,2,3,2,3,2,4,3,1,1,5,2,4,3,3,3,2,3,0
0,1,1,1,1,0,1,1,1,3,4,5,3,3,1,3,2,5,4,5,5,5,2,5,3,4,4,2,4,1,4,1,5,5,5,5,1,3,4,5,4,3,5,4,2,3
0,1,1,0,3,0,2,2,1,2,3,1,2,4,3,4,4,1,1,4,3,1,4,2,4,5,2,3,3,2,5,5,4,3,3,5,5,1,1,3,2,2,1,3,3,2
0,0,1,1,1,0,4,1,0,2,2,5,2,2,4,3,5,5,5,4,4,2,5,5,2,5,5,4,1,3,1,5,1,3,3,4,3,3,2,3,2,4,4,5,1,0
1,1,1,1,4,1,2,2,0,4,4,5,4,2,3,4,1,1,5,1,5,2,3,4,2,5,2,3,2,3,5,5,5,5,4,1,4,1,1,2,3,2,4,1,4,3
0,0,1,0,3,0,3,3,0,2,4,5,1,4,3,3,3,1,5,5,2,1,5,2,2,1,5,5,2,5,4,5,1,4,5,3,1,2,4,5,1,1,1,3,2,3
0,1,1,0,5,0,3,3,0,3,2,5,4,2,5,1,3,1,1,3,4,4,4,4,4,5,1,2,3,2,2,3,1,3,4,5,2,2,5,4,5,1,1,4,5,0
0,1,1,1,5,0,3,3,0,3,2,3,4,3,4,2,1,3,5,5,5,5,5,5,3,3,1,5,4,5,2,3,5,2,3,5,2,4,4,4,4,4,2,3,3,1
1,1,1,0,3,0,1,1,0,5,4,3,4,5,3,5,3,1,3,1,5,1,3,4,2,3,1,4,4,2,4,3,4,1,3,1,3,2,2,2,2,2,3,2,3,2
1,1,1,0,2,0,1,1,0,5,3,4,1,1,5,4,5,5,1,5,5,2,2,5,5,4,4,2,1,4,4,3,1,4,4,1,1,3,3,3,3,4,5,5,5,2
1,1,1,1,3,0,3,5,1,4,4,3,3,3,1,4,2,2,3,1,2,1,3,2,3,5,5,1,1,1,4,5,2,2,2,3,3,1,4,2,3,1,5,4,3,2
1,1,1,1,2,0,4,5,0,1,2,4,1,2,5,1,1,3,4,1,1,2,3,5,4,1,1,4,4,5,3,5,5,1,1,1,5,5,1,3,2,3,1,1,5,1
0,1,1,0,3,0,5,6,0,1,3,1,4,4,4,5,5,4,4,5,2,3,3,2,1,3,5,1,3,4,3,2,3,2,5,5,5,4,2,3,5,3,1,4,5,2
0,1,1,0,1,0,1,1,1,4,2,2,2,4,3,5,3,3,4,4,1,5,1,1,1,3,2,5,4,1,2,1,5,4,1,4,5,1,5,4,3,3,1,4,2,2
0,1,1,1,3,0,5,6,0,1,1,5,1,1,1,3,4,3,4,3,2,1,5,4,2,3,2,4,2,5,5,2,1,3,1,5,1,3,2,5,5,3,1,2,1,1
1,1,1,1,3,0,3,3,0,2,3,1,5,3,5,5,3,5,2,2,5,1,2,3,3,1,2,1,1,1,2,5,4,2,1,1,1,5,1,4,5,3,5,3,5,3
1,1,0,1,2,0,1,1,0,4,1,1,1,4,5,1,4,1,1,2,4,2,3,2,4,3,4,1,1,4,3,5,1,4,1,2,5,4,2,3,4,3,5,2,4,3
0,1,0,1,1,0,5,2,1,3,3,3,4,3,1,4,2,2,3,3,3,4,4,4,5,5,4,2,4,4,4,2,5,1,2,2,4,2,1,4,2,5,2,3,3,0
1,0,1,0,1,0,4,5,0,4,2,2,1,4,5,1,1,1,1,1,3,1,1,2,5,2,4,3,3,1,1,3,3,4,4,1,2,5,2,4,3,5,3,1,4,3
0,1,1,1,3,0,1,1,0,2,1,3,3,3,1,5,5,4,4,4,2,2,3,3,1,5,4,4,5,4,1,3,4,3,3,1,2,1,5,5,2,2,3,5,2,3
1,1,1,0,2,0,2,2,0,2,4,1,4,5,3,4,2,2,1,2,3,3,2,1,4,4,5,4,2,1,2,1,4,3,4,1,3,3,4,3,2,5,2,4,2,3
0,1,1,1,5,0,1,1,0,1,4,3,5,2,3,4,1,4,2,1,3,2,3,3,2,3,5,5,3,3,1,2,5,2,3,4,1,5,2,4,3,2,3,5,2,1
0,1,1,0,5,0,3,3,0,5,5,2,3,1,4,1,1,4,5,5,1,1,2,3,2,4,2,4,5,1,4,4,3,4,1,3,4,1,4,4,4,4,4,5,1,2
0,1,1,0,2,0,2,4,0,5,3,1,3,3,1,4,1,5,4,5,5,1,2,5,2,5,1,3,2,1,5,5,2,5,4,4,5,5,5,2,4,4,4,1,4,2
0,1,0,1,4,0,3,3,0,5,3,3,5,5,2,2,5,1,2,5,2,3,5,4,5,1,4,5,3,3,2,4,5,2,5,2,5,1,5,1,5,3,4,3,1,0
0,1,1,0,5,0,3,3,0,3,4,1,3,5,3,3,3,1,1,3,2,4,5,5,1,4,1,5,1,2,1,2,2,1,3,2,5,3,4,5,5,2,3,1,2,2
0,1,1,0,5,0,4,5,0,2,2,5,2,2,3,3,1,4,4,1,5,3,4,5,1,4,1,1,1,5,5,2,1,1,3,5,3,5,2,2,4,4,3,3,5,2
1,1,1,0,4,0,2,2,0,2,1,2,2,4,1,5,1,3,3,5,5,5,5,2,1,5,4,4,5,5,2,2,5,5,5,3,5,3,5,4,3,3,3,2,4,2
0,1,1,0,3,0,5,6,1,1,4,2,3,1,4,4,1,1,1,1,3,1,1,5,5,4,2,3,5,4,5,4,4,4,3,2,5,5,1,3,2,3,3,5,4,2
0,0,0,0,2,0,5,2,0,3,5,5,2,4,4,2,2,3,3,4,4,4,5,4,2,1,1,4,3,5,5,4,5,2,4,4,1,2,3,3,1,5,3,4,3,0
1,1,1,1,4,0,1,1,0,5,3,1,3,5,5,5,2,1,5,5,1,3,3,4,4,5,4,5,2,5,5,2,3,1,3,4,2,3,5,5,1,2,3,2,1,1
0,1,1,0,4,0,4,5,1,5,1,4,4,5,2,1,2,1,4,2,2,3,2,4,3,3,2,5,4,2,4,1,3,3,5,5,3,5,3,1,5,2,4,1,2,2
0,1,1,1,5,0,5,6,1,3,2,2,5,5,3,5,5,2,4,1,2,4,5,5,5,4,5,2,3,2,4,3,5,2,1,4,5,1,3,1,3,4,4,5,3,2
0,1,1,1,4,1,3,3,0,4,3,5,5,4,4,3,1,2,4,5,1,5,5,5,5,4,5,2,1,3,5,4,1,3,4,4,1,3,4,2,1,1,2,3,5,2
0,1,1,1,4,1,1,1,0,3,2,5,4,2,1,4,3,5,1,3,4,1,3,3,4,3,1,2,1,2,4,5,2,5,4,2,2,1,4,3,3,5,3,3,4,0
0,0,0,0,3,1,2,2,0,2,3,4,5,5,5,1,4,1,1,5,1,1,4,3,5,1,4,2,3,5,2,1,3,5,4,4,2,3,2,3,4,3,5,1,3,0
1,1,1,1,4,0,1,1,0,1,5,4,3,3,3,1,5,4,3,3,3,1,4,5,4,2,5,1,2,5,3,5,2,5,4,1,2,2,3,5,3,3,5,1,5,1
1,1,1,1,3,0,2,2,0,2,4,3,1,3,3,2,5,2,2,5,1,4,3,3,4,1,3,3,1,1,2,1,4,5,4,4,4,1,4,5,4,1,3,3,4,1
0,1,1,1,3,0,2,2,0,1,1,5,5,3,2,5,4,3,1,3,5,5,2,2,3,1,3,5,5,3,4,3,5,4,5,3,3,2,2,2,1,4,4,3,1,1
0,0,1,0,4,1,3,3,0,4,2,1,4,4,5,5,4,2,5,4,3,4,3,5,5,1,1,1,2,1,5,2,1,4,2,1,2,2,5,2,4,5,3,3,1,0
1,0,0,0,4,0,4,1,0,1,3,1,2,4,4,2,4,3,3,4,2,1,3,4,4,5,5,1,2,2,3,5,4,3,3,3,4,2,2,2,3,2,2,5,5,0
0,1,1,1,2,1,4,5,0,5,3,3,2,3,4,2,3,1,5,5,1,2,1,2,1,2,4,3,3,5,4,4,2,1,4,4,5,3,3,3,5,4,1,4,2,2
0,1,0,0,4,0,4,5,1,2,4,4,1,2,5,5,3,3,3,2,1,2,1,1,3,1,1,4,4,2,2,5,2,3,1,2,2,4,5,1,4,5,3,2,1,3
0,1,0,1,2,0,5,6,0,1,2,1,5,1,5,2,5,3,2,2,3,3,4,2,3,4,4,3,4,4,2,4,2,5,2,3,4,3,2,5,5,5,4,3,1,3
0,1,1,0,3,0,4,5,0,5,2,5,2,1,3,3,2,3,1,1,5,2,3,5,5,5,4,3,4,2,2,2,4,4,4,3,2,3,3,2,4,2,2,4,3,2
1,0,1,0,4,0,2,2,0,1,5,1,1,1,2,4,3,2,1,4,1,5,3,4,5,4,2,3,2,2,2,1,2,3,5,4,5,4,3,3,1,4,4,2,5,3
0,0,0,1,2,0,2,2,1,5,1,1,4,2,3,5,4,2,4,4,3,1,1,3,5,5,3,1,3,2,1,2,4,2,4,5,4,4,1,5,1,5,3,2,2,0
1,1,1,1,5,0,4,5,0,2,3,2,2,2,5,1,1,2,3,3,2,5,4,3,2,5,5,1,4,1,4,1,2,2,3,4,3,1,1,3,2,1,2,1,4,1
0,1,0,0,4,0,5,2,0,4,4,3,5,2,5,2,3,3,2,1,3,2,5,3,4,1,1,1,2,4,5,1,2,1,5,2,1,5,1,4,4,4,5,4,3,0
0,1,1,0,2,0,3,3,1,5,2,2,2,4,1,4,2,2,5,4,5,4,3,5,1,4,4,3,1,2,3,3,3,3,1,3,5,1,2,5,5,2,2,3,4,1
0,0,0,1,3,0,2,2,0,4,4,4,4,3,5,3,3,4,1,2,5,2,2,4,4,1,1,2,4,5,5,1,5,2,1,5,4,4,1,2,3,1,3,2,5,0
0,0,0,0,2,1,4,1,0,1,3,3,1,2,3,2,2,4,4,5,4,1,4,4,3,1,4,2,3,3,3,2,5,2,3,3,3,2,2,5,1,2,5,3,1,0
0,0,1,0,4,0,1,1,0,5,2,1,1,1,2,2,4,5,3,1,3,2,1,2,4,4,3,4,4,2,5,5,3,5,3,4,5,3,4,2,2,1,1,3,3,1
0,1,1,1,1,0,3,3,1,2,4,1,1,1,1,3,1,5,1,2,2,3,1,5,3,1,4,1,2,4,3,2,1,5,4,3,3,2,1,5,4,5,2,5,5,3
0,1,1,1,4,0,2,2,0,1,2,5,2,1,2,3,3,2,2,4,4,4,3,4,2,4,4,4,4,2,1,5,3,1,3,2,1,1,5,3,4,1,5,1,3,1
1,1,1,0,2,0,2,2,0,5,4,1,3,3,5,1,1,4,5,5,3,3,3,5,3,2,4,3,1,2,5,4,2,2,1,1,3,5,2,1,3,5,4,3,4,0
0,1,1,1,4,0,4,5,0,4,2,4,2,4,4,3,5,1,5,1,1,2,1,1,1,4,3,3,4,4,5,3,5,4,4,4,1,2,3,2,3,5,2,5,2,2
1,1,1,1,1,0,2,2,1,5,2,5,2,2,4,5,1,5,4,5,2,5,2,3,4,2,2,1,3,5,2,2,4,3,2,4,2,3,1,2,4,1,3,3,4,1
1,1,1,0,1,0,4,5,0,5,4,3,1,3,4,1,5,5,5,3,3,3,2,2,5,2,5,3,1,5,4,1,5,5,1,5,5,2,4,2,3,3,1,5,4,1
0,1,1,1,5,0,2,2,0,5,3,1,4,5,1,1,5,3,5,3,4,2,2,3,5,5,2,3,1,3,2,2,4,2,2,3,1,5,3,1,3,1,3,5,3,2
0,1,0,1,1,0,4,5,0,3,4,5,1,3,3,4,4,1,2,5,4,1,3,2,4,1,3,5,2,1,2,1,2,3,3,4,1,2,3,3,2,2,5,5,2,3
0,0,1,0,5,0,4,1,0,3,1,4,3,4,1,1,5,3,3,4,2,1,3,2,3,5,5,3,1,1,4,2,5,2,5,4,1,4,2,4,5,4,2,2,5,0
1,1,1,1,1,0,2,2,0,4,5,2,2,2,3,5,5,2,2,3,1,4,2,1,4,4,4,5,4,2,1,1,1,5,5,4,1,4,1,3,5,3,4,5,4,2
0,1,1,0,2,0,5,6,0,1,4,3,1,1,3,1,1,4,3,4,4,3,4,3,2,5,2,1,1,1,4,3,2,2,4,2,5,5,1,4,1,3,1,2,3,3
0,1,1,0,1,0,2,4,0,5,4,4,2,1,1,4,4,5,2,1,1,2,2,3,1,4,4,5,4,2,5,1,5,2,3,1,1,2,5,1,4,5,1,1,3,2
0,0,1,0,2,0,4,1,1,4,5,1,5,3,3,1,1,5,3,1,3,3,5,2,1,5,3,1,3,4,3,3,2,3,1,5,1,1,3,4,3,4,1,5,1,0
0,1,1,0,5,0,5,6,0,1,2,4,1,4,1,5,3,1,5,5,1,4,1,4,1,5,3,5,4,2,1,2,1,5,3,1,2,2,3,5,4,4,3,5,5,2
1,1,1,1,1,0,1,1,0,4,3,3,1,5,3,3,4,4,5,3,1,1,5,3,1,3,5,5,4,4,3,4,1,5,3,3,2,4,3,4,4,2,5,2,5,2
0,1,1,1,3,0,2,2,0,1,5,3,2,5,1,1,3,5,2,2,3,2,3,4,1,3,3,1,1,4,5,5,5,2,2,1,2,3,5,4,5,4,2,2,5,2
0,1,1,0,1,0,4,5,0,4,5,4,5,1,2,3,1,3,1,1,3,2,3,2,1,1,2,5,1,3,1,5,5,1,1,5,3,1,5,5,1,5,4,3,4,2
0,1,1,1,4,0,1,1,0,3,1,1,3,2,1,1,3,1,3,4,3,2,2,4,2,3,4,3,2,2,1,5,5,4,1,4,1,4,1,3,4,5,5,3,5,2
1,1,1,0,4,0,4,5,1,4,3,5,2,5,4,3,4,2,1,5,1,1,1,2,5,1,5,4,3,2,3,4,3,3,5,5,4,2,5,5,4,3,2,3,1,2
0,1,1,0,4,0,1,1,0,4,5,5,1,2,4,1,3,3,2,5,4,4,3,4,5,3,2,3,1,4,2,3,4,3,3,4,2,4,3,1,3,1,4,1,4,2
0,1,1,0,5,0,5,6,1,5,3,5,1,1,4,4,5,4,3,4,1,4,2,5,4,5,5,1,3,1,1,3,4,2,5,2,1,4,4,3,2,1,4,3,4,1
0,0,1,0,5,0,2,4,0,2,1,2,4,2,1,4,3,4,4,3,5,2,5,3,4,3,4,2,2,1,2,3,1,3,3,3,1,3,5,3,1,1,3,5,3,2
1,1,1,0,3,1,5,6,0,3,3,2,5,1,1,3,4,2,5,3,1,3,1,5,1,5,3,2,1,2,4,3,2,4,4,5,4,5,4,4,2,1,4,1,4,2
0,1,1,1,3,0,2,2,0,3,2,1,3,3,3,5,2,1,5,1,3,2,4,1,4,2,1,3,5,5,4,2,5,3,3,1,1,3,3,1,5,5,5,5,1,2
0,1,1,1,4,0,5,6,0,3,2,5,2,4,5,3,2,1,3,4,4,5,4,4,5,4,3,4,4,5,3,1,1,5,3,5,2,3,3,3,4,4,3,5,5,2
0,0,1,1,3,0,1,1,0,3,3,4,4,3,4,2,3,1,5,4,3,1,1,4,2,3,1,5,5,2,5,3,3,3,1,3,5,4,1,2,2,5,2,4,3,0
0,1,0,1,1,0,3,5,0,3,3,1,5,5,3,3,3,5,5,2,5,2,4,4,4,2,3,4,5,3,3,5,5,4,5,4,2,1,1,4,5,3,1,5,2,2
1,1,1,0,3,0,2,4,0,3,1,4,1,5,4,4,5,3,5,1,3,5,2,1,1,2,1,5,2,5,1,5,2,4,3,2,4,2,5,1,1,4,5,1,1,2
0,1,1,0,5,0,3,3,0,2,1,2,5,2,3,2,3,2,2,2,4,3,3,5,2,4,2,3,4,5,3,2,2,4,2,4,4,5,3,2,5,1,2,3,3,2
1,1,1,0,2,0,1,1,0,2,2,3,4,5,3,4,1,3,4,3,4,4,4,3,3,4,1,5,2,1,4,2,5,1,1,2,2,5,5,1,3,3,3,2,2,1
0,0,0,1,2,0,2,2,0,4,4,5,1,2,4,2,3,4,5,1,5,1,4,2,3,1,5,1,3,2,1,5,2,3,2,3,3,3,1,4,2,5,3,1,2,0
0,1,1,0,1,1,2,2,0,4,2,5,5,4,3,3,5,1,3,2,4,3,2,5,2,3,4,3,3,3,3,4,2,4,5,1,2,5,3,4,2,2,3,2,5,3
0,1,1,1,3,0,4,5,0,2,2,3,2,3,1,3,3,1,2,3,5,2,2,3,2,2,1,3,2,4,2,2,3,4,3,3,2,2,3,1,4,2,4,4,3,1
1,1,1,0,5,0,4,5,0,2,4,1,3,1,1,3,3,2,5,2,1,3,1,4,1,2,5,3,1,5,1,1,4,2,3,3,2,4,5,5,4,5,2,1,1,1
0,1,1,1,5,0,2,2,0,3,1,4,4,1,1,2,1,3,1,1,2,2,1,2,1,5,1,3,4,4,1,5,2,3,5,5,4,1,5,2,1,4,2,2,5,0
0,1,1,0,2,0,4,5,1,1,3,3,5,3,1,2,1,4,1,5,5,1,3,5,3,4,5,5,2,2,3,1,3,3,5,3,5,4,4,4,3,3,2,4,2,2
1,1,1,0,1,0,2,2,0,4,2,5,1,3,1,1,5,3,2,3,3,4,2,1,4,1,1,1,1,3,3,3,3,1,3,2,5,2,2,2,4,4,3,1,1,3
0,1,1,0,5,0,2,2,0,5,4,2,5,5,1,4,3,5,3,1,3,4,2,2,5,2,4,3,4,5,1,5,5,2,4,4,2,4,4,5,1,4,5,1,3,2
0,1,0,1,3,0,5,6,1,3,1,2,5,3,5,4,5,5,3,1,5,4,2,3,1,5,1,1,4,5,2,2,3,2,1,3,5,1,3,4,4,1,3,3,2,3
0,0,0,0,4,0,4,1,0,2,5,4,3,2,4,1,3,4,5,4,3,3,5,4,2,4,1,1,4,2,1,1,1,4,1,2,5,4,2,4,2,5,3,3,5,0
0,1,1,1,2,0,2,2,0,2,3,3,5,2,4,3,1,1,3,1,3,4,4,2,4,4,1,2,2,4,2,4,3,5,5,5,5,5,5,2,3,4,4,3,2,0
0,1,1,0,4,0,4,5,0,4,4,1,5,5,4,1,1,2,3,4,3,1,3,5,2,5,1,5,3,4,1,1,1,2,3,1,4,1,2,2,3,4,2,1,4,2
0,1,1,1,3,0,4,5,0,2,1,4,3,1,1,4,3,3,1,5,2,1,2,4,4,4,1,5,4,4,2,2,2,2,3,1,3,3,3,2,1,1,4,2,3,2
0,1,0,1,3,1,3,3,1,2,3,4,2,3,5,1,3,3,4,5,2,2,5,5,1,1,2,4,1,3,2,2,3,3,5,5,2,5,4,5,1,2,3,2,5,0
